VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	1p2.c
0000000000000000	0	SECTION	LOCAL	3	xdp
0000000000000000	0	SECTION	LOCAL	5	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	8	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	10	.debug_str
0000000000000000	0	SECTION	LOCAL	11	.debug_addr
0000000000000000	0	SECTION	LOCAL	17	.debug_frame
0000000000000000	0	SECTION	LOCAL	19	.debug_line
0000000000000000	0	SECTION	LOCAL	21	.debug_line_str
0000000000000000	72	FUNC	GLOBAL	3	xdp_demo
0000000000000000	4	OBJECT	GLOBAL	4	_license
