IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000fa	
2	.text	000000d8	TEXT
3	xdp	000000f8	TEXT
4	.relxdp	00000030	
5	license	00000004	DATA
6	.debug_abbrev	000000b8	DEBUG
7	.debug_info	000000e0	DEBUG
8	.rel.debug_info	00000050	
9	.debug_rnglists	00000019	DEBUG
10	.debug_str_offsets	00000064	DEBUG
11	.rel.debug_str_offsets	00000170	
12	.debug_str	000000ef	DEBUG
13	.debug_addr	00000028	DEBUG
14	.rel.debug_addr	00000040	
15	.BTF	00000291	
16	.rel.BTF	00000010	
17	.BTF.ext	00000290	
18	.rel.BTF.ext	00000260	
19	.debug_frame	00000058	DEBUG
20	.rel.debug_frame	00000060	
21	.debug_line	0000011a	DEBUG
22	.rel.debug_line	00000080	
23	.debug_line_str	00000058	DEBUG
24	.llvm_addrsig	00000004	
25	.symtab	00000180	
