IDX	NAME	SIZE	VMA	TYPE
0	00000000	0000000000000000		
1	.strtab	000000f2	0000000000000000	
2	.text	00000000	0000000000000000	TEXT
3	xdp	000000c8	0000000000000000	TEXT
4	.relxdp	00000010	0000000000000000	
5	.rodata	00000009	0000000000000000	DATA
6	license	00000004	0000000000000000	DATA
7	.debug_abbrev	000000f6	0000000000000000	DEBUG
8	.debug_info	000000ee	0000000000000000	DEBUG
9	.rel.debug_info	00000040	0000000000000000	
10	.debug_str_offsets	00000060	0000000000000000	DEBUG
11	.rel.debug_str_offsets	00000160	0000000000000000	
12	.debug_str	00000100	0000000000000000	DEBUG
13	.debug_addr	00000028	0000000000000000	DEBUG
14	.rel.debug_addr	00000040	0000000000000000	
15	.BTF	00000211	0000000000000000	
16	.rel.BTF	00000020	0000000000000000	
17	.BTF.ext	00000110	0000000000000000	
18	.rel.BTF.ext	000000e0	0000000000000000	
19	.debug_frame	00000028	0000000000000000	DEBUG
20	.rel.debug_frame	00000020	0000000000000000	
21	.debug_line	000000e3	0000000000000000	DEBUG
22	.rel.debug_line	000000b0	0000000000000000	
23	.debug_line_str	000000b8	0000000000000000	DEBUG
24	.llvm_addrsig	00000003	0000000000000000	
25	.symtab	00000150	0000000000000000	
