ID	KIND	NAME	ATTRS
1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
2	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	PTR	(anon)	type_id=0
4	FUNC	sum_15	type_id=1 linkage=global
5	CONST	(anon)	type_id=6
6	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
7	ARRAY	(anon)	type_id=5 index_type_id=8 nr_elems=9
8	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
9	VAR	sum_15.____fmt	type_id=7, linkage=static
10	ARRAY	(anon)	type_id=6 index_type_id=8 nr_elems=4
11	VAR	_license	type_id=10, linkage=global
12	DATASEC	.rodata	size=0 vlen=1
13	DATASEC	license	size=0 vlen=1
