VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	loop.c
0000000000000000	0	SECTION	LOCAL	3	xdp
0000000000000000	9	OBJECT	LOCAL	5	sum_15.____fmt
0000000000000000	0	SECTION	LOCAL	5	.rodata
0000000000000000	0	SECTION	LOCAL	7	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	10	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	12	.debug_str
0000000000000000	0	SECTION	LOCAL	13	.debug_addr
0000000000000000	0	SECTION	LOCAL	19	.debug_frame
0000000000000000	0	SECTION	LOCAL	21	.debug_line
0000000000000000	0	SECTION	LOCAL	23	.debug_line_str
0000000000000000	200	FUNC	GLOBAL	3	sum_15
0000000000000000	4	OBJECT	GLOBAL	6	_license
