IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000d3	
2	.text	00000000	TEXT
3	test_md	00000208	TEXT
4	.debug_abbrev	000000a3	DEBUG
5	.debug_info	000000a2	DEBUG
6	.rel.debug_info	00000040	
7	.debug_str_offsets	00000044	DEBUG
8	.rel.debug_str_offsets	000000f0	
9	.debug_str	000000c7	DEBUG
10	.debug_addr	00000010	DEBUG
11	.rel.debug_addr	00000010	
12	.BTF	0000023e	
13	.BTF.ext	00000240	
14	.rel.BTF.ext	00000210	
15	.debug_frame	00000028	DEBUG
16	.rel.debug_frame	00000020	
17	.debug_line	000000e1	DEBUG
18	.rel.debug_line	00000050	
19	.debug_line_str	00000051	DEBUG
20	.llvm_addrsig	00000001	
21	.symtab	00000108	
