VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	loop_prevail.c
0000000000000000	0	SECTION	LOCAL	3	test_md
0000000000000000	0	SECTION	LOCAL	4	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	7	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	9	.debug_str
0000000000000000	0	SECTION	LOCAL	10	.debug_addr
0000000000000000	0	SECTION	LOCAL	15	.debug_frame
0000000000000000	0	SECTION	LOCAL	17	.debug_line
0000000000000000	0	SECTION	LOCAL	19	.debug_line_str
0000000000000000	520	FUNC	GLOBAL	3	foo
