IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000f4	
2	.text	00000138	TEXT
3	.rel.text	00000020	
4	.maps	00000040	DATA
5	.rel.maps	00000010	
6	.debug_abbrev	000000f0	DEBUG
7	.debug_info	0000015f	DEBUG
8	.rel.debug_info	00000040	
9	.debug_str_offsets	0000005c	DEBUG
10	.rel.debug_str_offsets	00000150	
11	.debug_str	0000010b	DEBUG
12	.debug_addr	00000028	DEBUG
13	.rel.debug_addr	00000040	
14	.BTF	000003fd	
15	.rel.BTF	00000020	
16	.BTF.ext	00000140	
17	.rel.BTF.ext	00000110	
18	.debug_frame	00000028	DEBUG
19	.rel.debug_frame	00000020	
20	.debug_line	000000e8	DEBUG
21	.rel.debug_line	00000090	
22	.debug_line_str	000000ab	DEBUG
23	.llvm_addrsig	00000002	
24	.symtab	00000138	
