ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	PTR	(anon)	type_id=3
2	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	-1	-1	ARRAY	(anon)	type_id=2 index_type_id=4 nr_elems=2
4	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
5	-1	-1	PTR	(anon)	type_id=6
6	-1	-1	TYPEDEF	__u32	type_id=7
7	-1	-1	INT	unsigned int	size=4 bits_offset=0 nr_bits=32 encoding=(none)
8	-1	-1	PTR	(anon)	type_id=9
9	-1	-1	ARRAY	(anon)	type_id=2 index_type_id=4 nr_elems=1
10	-1	-1	STRUCT	(anon)	size=32 vlen=4
-1	10	0	MEMBER	type	type_id=1 bits_offset=0
-1	10	1	MEMBER	key	type_id=5 bits_offset=64
-1	10	2	MEMBER	value	type_id=5 bits_offset=128
-1	10	3	MEMBER	max_entries	type_id=8 bits_offset=192
11	-1	-1	VAR	inner_map	type_id=10, linkage=global
12	-1	-1	PTR	(anon)	type_id=13
13	-1	-1	ARRAY	(anon)	type_id=2 index_type_id=4 nr_elems=12
14	-1	-1	STRUCT	(anon)	size=24 vlen=4
-1	14	0	MEMBER	type	type_id=12 bits_offset=0
-1	14	1	MEMBER	max_entries	type_id=8 bits_offset=64
-1	14	2	MEMBER	key	type_id=5 bits_offset=128
-1	14	3	MEMBER	values	type_id=16 bits_offset=192
15	-1	-1	PTR	(anon)	type_id=10
16	-1	-1	ARRAY	(anon)	type_id=15 index_type_id=4 nr_elems=0
17	-1	-1	VAR	array_of_maps	type_id=14, linkage=global
18	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
19	-1	-1	PTR	(anon)	type_id=0
20	-1	-1	FUNC	func	type_id=18 linkage=global
21	-1	-1	DATASEC	.maps	size=0 vlen=2
-1	21	0	DATASEC_ENTRY	inner_map	type_id=11 offset=0 size=32
-1	21	1	DATASEC_ENTRY	array_of_maps	type_id=17 offset=0 size=32
