VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	map_in_map.c
0000000000000000	0	SECTION	LOCAL	2	.text
0000000000000000	0	SECTION	LOCAL	6	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	9	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	11	.debug_str
0000000000000000	0	SECTION	LOCAL	12	.debug_addr
0000000000000000	0	SECTION	LOCAL	18	.debug_frame
0000000000000000	0	SECTION	LOCAL	20	.debug_line
0000000000000000	0	SECTION	LOCAL	22	.debug_line_str
0000000000000000	312	FUNC	GLOBAL	2	func
0000000000000020	32	OBJECT	GLOBAL	4	array_of_maps
0000000000000000	32	OBJECT	GLOBAL	4	inner_map
