IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000e7	
2	.text	00000000	TEXT
3	xdp	00000128	TEXT
4	.relxdp	00000010	
5	.maps	00000020	DATA
6	license	00000004	DATA
7	.debug_abbrev	00000105	DEBUG
8	.debug_info	00000169	DEBUG
9	.rel.debug_info	00000040	
10	.debug_str_offsets	0000008c	DEBUG
11	.rel.debug_str_offsets	00000210	
12	.debug_str	00000185	DEBUG
13	.debug_addr	00000020	DEBUG
14	.rel.debug_addr	00000030	
15	.BTF	000002f5	
16	.rel.BTF	00000020	
17	.BTF.ext	00000130	
18	.rel.BTF.ext	00000100	
19	.debug_frame	00000028	DEBUG
20	.rel.debug_frame	00000020	
21	.debug_line	000000f9	DEBUG
22	.rel.debug_line	000000b0	
23	.debug_line_str	000000b8	DEBUG
24	.llvm_addrsig	00000003	
25	.symtab	00000138	
