IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	00000105	
2	.text	00000000	TEXT
3	xdp	00000100	TEXT
4	.relxdp	00000020	
5	.data	00000008	DATA
6	.rodata	00000012	DATA
7	license	00000004	DATA
8	.debug_abbrev	00000109	DEBUG
9	.debug_info	00000115	DEBUG
10	.rel.debug_info	00000040	
11	.debug_str_offsets	00000074	DEBUG
12	.rel.debug_str_offsets	000001b0	
13	.debug_str	00000118	DEBUG
14	.debug_addr	00000028	DEBUG
15	.rel.debug_addr	00000040	
16	.BTF	00000293	
17	.rel.BTF	00000030	
18	.BTF.ext	00000130	
19	.rel.BTF.ext	00000100	
20	.debug_frame	00000028	DEBUG
21	.rel.debug_frame	00000020	
22	.debug_line	000000e5	DEBUG
23	.rel.debug_line	000000b0	
24	.debug_line_str	000000c4	DEBUG
25	.llvm_addrsig	00000004	
26	.symtab	00000168	
