VALUE	SIZE	NDX	NAME
0000000000000000	0	UND	
0000000000000000	0	ABS	minimal.bpf.c
0000000000000000	0	3	tp/syscalls/sys_enter_write
0000000000000000	28	7	handle_tp.____fmt
0000000000000000	0	7	.rodata
0000000000000000	0	8	.debug_loclists
0000000000000000	0	9	.debug_abbrev
0000000000000000	0	12	.debug_str_offsets
0000000000000000	0	14	.debug_str
0000000000000000	0	15	.debug_addr
0000000000000000	0	21	.debug_frame
0000000000000000	0	23	.debug_line
0000000000000000	0	25	.debug_line_str
0000000000000000	104	3	handle_tp
0000000000000000	4	6	my_pid
0000000000000000	13	5	LICENSE
