ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	PTR	(anon)	type_id=0
2	-1	-1	FUNC_PROTO	(anon)	ret_type_id=3 vlen=1
3	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
4	-1	-1	FUNC	handle_tp	type_id=2 linkage=global
5	-1	-1	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
6	-1	-1	ARRAY	(anon)	type_id=5 index_type_id=7 nr_elems=13
7	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
8	-1	-1	VAR	LICENSE	type_id=6, linkage=global
9	-1	-1	VAR	my_pid	type_id=3, linkage=global
10	-1	-1	CONST	(anon)	type_id=5
11	-1	-1	ARRAY	(anon)	type_id=10 index_type_id=7 nr_elems=28
12	-1	-1	VAR	handle_tp.____fmt	type_id=11, linkage=static
13	-1	-1	DATASEC	.bss	size=0 vlen=1
-1	13	0	DATASEC_ENTRY	my_pid	type_id=9 offset=0 size=4
14	-1	-1	DATASEC	.rodata	size=0 vlen=1
-1	14	0	DATASEC_ENTRY	handle_tp.____fmt	type_id=12 offset=0 size=28
15	-1	-1	DATASEC	license	size=0 vlen=1
-1	15	0	DATASEC_ENTRY	LICENSE	type_id=8 offset=0 size=13
