VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	minimal.bpf.c
0000000000000000	0	SECTION	LOCAL	3	tp/syscalls/sys_enter_write
0000000000000000	28	OBJECT	LOCAL	7	handle_tp.____fmt
0000000000000000	0	SECTION	LOCAL	7	.rodata
0000000000000000	0	SECTION	LOCAL	8	.debug_loclists
0000000000000000	0	SECTION	LOCAL	9	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	12	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	14	.debug_str
0000000000000000	0	SECTION	LOCAL	15	.debug_addr
0000000000000000	0	SECTION	LOCAL	21	.debug_frame
0000000000000000	0	SECTION	LOCAL	23	.debug_line
0000000000000000	0	SECTION	LOCAL	25	.debug_line_str
0000000000000000	104	FUNC	GLOBAL	3	handle_tp
0000000000000000	4	OBJECT	GLOBAL	6	my_pid
0000000000000000	13	OBJECT	GLOBAL	5	LICENSE
