VALUE	SIZE	NDX	NAME
0000000000000000	0	UND	
0000000000000000	0	ABS	odd_even.c
0000000000000000	0	2	.text
0000000000000000	0	4	xdp
0000000000000000	0	7	.debug_abbrev
0000000000000000	0	10	.debug_rnglists
0000000000000000	0	11	.debug_str_offsets
0000000000000000	0	13	.debug_str
0000000000000000	0	14	.debug_addr
0000000000000000	0	20	.debug_frame
0000000000000000	0	22	.debug_line
0000000000000000	0	24	.debug_line_str
0000000000000000	112	2	odd
0000000000000070	112	2	even
0000000000000000	176	4	xdp_demo
0000000000000000	4	6	_license
