VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	odd_even.c
0000000000000000	0	SECTION	LOCAL	2	.text
0000000000000000	0	SECTION	LOCAL	4	xdp
0000000000000000	0	SECTION	LOCAL	7	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	10	.debug_rnglists
0000000000000000	0	SECTION	LOCAL	11	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	13	.debug_str
0000000000000000	0	SECTION	LOCAL	14	.debug_addr
0000000000000000	0	SECTION	LOCAL	20	.debug_frame
0000000000000000	0	SECTION	LOCAL	22	.debug_line
0000000000000000	0	SECTION	LOCAL	24	.debug_line_str
0000000000000000	112	FUNC	GLOBAL	2	odd
0000000000000070	112	FUNC	GLOBAL	2	even
0000000000000000	176	FUNC	GLOBAL	4	xdp_demo
0000000000000000	4	OBJECT	GLOBAL	6	_license
