VALUE	SIZE	NDX	NAME
0000000000000000	0	UND	
0000000000000000	0	ABS	string.c
0000000000000000	0	3	xdp
0000000000000000	3	6	xdp_demo.____fmt
0000000000000003	25	6	xdp_demo.____fmt.1
0000000000000000	0	5	.rodata.str1.1
0000000000000000	0	6	.rodata
0000000000000000	0	8	.debug_abbrev
0000000000000000	0	11	.debug_str_offsets
0000000000000000	0	13	.debug_str
0000000000000000	0	14	.debug_addr
0000000000000000	0	20	.debug_frame
0000000000000000	0	22	.debug_line
0000000000000000	0	24	.debug_line_str
0000000000000000	136	3	xdp_demo
0000000000000000	4	7	_license
