IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	0000011a	
2	.text	00000000	TEXT
3	xdp	00000088	TEXT
4	.relxdp	00000030	
5	.rodata.str1.1	00000019	DATA
6	.rodata	0000001c	DATA
7	license	00000004	DATA
8	.debug_abbrev	000000fa	DEBUG
9	.debug_info	0000010e	DEBUG
10	.rel.debug_info	00000040	
11	.debug_str_offsets	0000005c	DEBUG
12	.rel.debug_str_offsets	00000150	
13	.debug_str	00000105	DEBUG
14	.debug_addr	00000030	DEBUG
15	.rel.debug_addr	00000050	
16	.BTF	0000028c	
17	.rel.BTF	00000030	
18	.BTF.ext	00000090	
19	.rel.BTF.ext	00000060	
20	.debug_frame	00000028	DEBUG
21	.rel.debug_frame	00000020	
22	.debug_line	000000c1	DEBUG
23	.rel.debug_line	000000b0	
24	.debug_line_str	000000bc	DEBUG
25	.llvm_addrsig	00000004	
26	.symtab	00000180	
