VALUE	SIZE	TYPE	BIND	NDX	NAME
0000000000000000	0	NOTYPE	LOCAL	UND	
0000000000000000	0	FILE	LOCAL	ABS	xyz.c
0000000000000000	0	SECTION	LOCAL	3	xdp
0000000000000004	9	OBJECT	LOCAL	7	xdp_demo.____fmt
000000000000000d	9	OBJECT	LOCAL	7	xdp_demo.____fmt.1
0000000000000000	0	SECTION	LOCAL	7	.rodata
0000000000000000	0	SECTION	LOCAL	8	.rodata.str1.1
0000000000000000	0	SECTION	LOCAL	10	.debug_abbrev
0000000000000000	0	SECTION	LOCAL	13	.debug_str_offsets
0000000000000000	0	SECTION	LOCAL	15	.debug_str
0000000000000000	0	SECTION	LOCAL	16	.debug_addr
0000000000000000	0	SECTION	LOCAL	22	.debug_frame
0000000000000000	0	SECTION	LOCAL	24	.debug_line
0000000000000000	0	SECTION	LOCAL	26	.debug_line_str
0000000000000000	320	FUNC	GLOBAL	3	xdp_demo
0000000000000000	4	OBJECT	GLOBAL	5	x
0000000000000000	4	OBJECT	GLOBAL	6	y
0000000000000004	4	OBJECT	GLOBAL	5	sum
0000000000000000	4	OBJECT	GLOBAL	7	z
0000000000000000	4	OBJECT	GLOBAL	9	_license
