ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
2	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	-1	-1	PTR	(anon)	type_id=0
4	-1	-1	FUNC	xdp_demo	type_id=1 linkage=global
5	-1	-1	VAR	x	type_id=2, linkage=global
6	-1	-1	VAR	y	type_id=2, linkage=global
7	-1	-1	CONST	(anon)	type_id=2
8	-1	-1	VAR	z	type_id=7, linkage=global
9	-1	-1	VAR	sum	type_id=2, linkage=global
10	-1	-1	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
11	-1	-1	ARRAY	(anon)	type_id=10 index_type_id=12 nr_elems=11
12	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
13	-1	-1	CONST	(anon)	type_id=10
14	-1	-1	ARRAY	(anon)	type_id=13 index_type_id=12 nr_elems=9
15	-1	-1	VAR	xdp_demo.____fmt	type_id=14, linkage=static
16	-1	-1	VAR	xdp_demo.____fmt.1	type_id=14, linkage=static
17	-1	-1	ARRAY	(anon)	type_id=10 index_type_id=12 nr_elems=4
18	-1	-1	VAR	_license	type_id=17, linkage=global
19	-1	-1	DATASEC	.bss	size=0 vlen=2
-1	19	0	DATASEC_ENTRY	x	type_id=5 offset=0 size=4
-1	19	1	DATASEC_ENTRY	sum	type_id=9 offset=0 size=4
20	-1	-1	DATASEC	.data	size=0 vlen=1
-1	20	0	DATASEC_ENTRY	y	type_id=6 offset=0 size=4
21	-1	-1	DATASEC	.rodata	size=0 vlen=3
-1	21	0	DATASEC_ENTRY	z	type_id=8 offset=0 size=4
-1	21	1	DATASEC_ENTRY	xdp_demo.____fmt	type_id=15 offset=4 size=9
-1	21	2	DATASEC_ENTRY	xdp_demo.____fmt.1	type_id=16 offset=13 size=9
22	-1	-1	DATASEC	license	size=0 vlen=1
-1	22	0	DATASEC_ENTRY	_license	type_id=18 offset=0 size=4
